CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1909528.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.01;Receita de Venda de Bens e/ou Serviços;2337911.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-1376156.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-1699041.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.02.01;Custo das vendas e serviços;-1357928.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.02.01;Custo das vendas e serviços;-1743644.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.02.02;Variação do valor justo de ativos biológicos;-18228.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.02.02;Variação do valor justo de ativos biológicos;44603.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.03;Resultado Bruto;533372.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.03;Resultado Bruto;638870.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.04;Despesas/Receitas Operacionais;-158488.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.04;Despesas/Receitas Operacionais;-166980.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.04.01;Despesas com Vendas;-138188.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.04.01;Despesas com Vendas;-208542.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.04.02;Despesas Gerais e Administrativas;-143196.0000000000;S
